key	text	tooltip
#Loc;1;text/localisation.loc
names_name_names_portugueseVerónica	Verónica	false
names_name_names_frenchMarie-Thérèse	Marie-Thérèse	false
names_name_names_frenchAndré	André	false
names_name_names_frenchCéline	Céline	false
shortcut_localisation_onscreen_increase_camera_rot	Increase camera rotation	false
diplomacy_strings_string_ottomans_monarchy_approach_hostile	On your knees, faithless ones, on your knees! How dare you stand in the presence of the Sultan's ambassadors?	false
technologies_onscreen_name_military5_percussion_cap	Percussion Cap	false
names_name_names_indian_hinduApoorva	Apoorva	false
names_name_names_slavonic_generalDemirchan	Demirchan	false
names_name_names_slavonic_generalVoikevich	Voikevich	false
shortcut_localisation_onscreen_deselect_all	Deselect all	false
mission_text_text_main_mission_capture_city_heading	Capture A City	false
commodity_unit_names_plural_barrels	Barrels	false
names_name_names_englishBartholomew	Bartholomew	false
names_name_names_slavonic_generalFyodor_Fyodorovich	Fyodor Fyodorovich	false
names_name_names_polishKumor	Kumor	false
names_name_names_slavonic_generalGataullin	Gataullin	false
unit_description_texts_description_text_Inf_Line_Austrian_1st_Emperors_Own	These men are exceptionally fine line infantry armed with smoothbore muskets.	false
names_name_names_polishTymon	Tymon	false
message_event_strings_title_spain_mili_fund_britaineuropean	Military Funding	false
campaign_map_tooltips_tooltip_line_missionaryland_cannot_disembark	Right click to move	false
unit_info_card_abilities_strings_bullet_text_socket_bayonet	Socket Bayonet	false
campaign_map_towns_and_ports_onscreen_name_port:spa_basses_pyrenees:anglet	Anglet	false
names_name_names_indian_hinduBharani	Bharani	false
names_name_names_indian_hinduChandni	Chandni	false
names_name_names_irishDaly	Daly	false
names_name_names_polishImbor	Imbor	false
names_name_names_ottomanCem	Cem	false
names_name_names_portugueseBarrios	Barrios	false
names_name_names_slavonic_generalKramarenko	Kramarenko	false
message_event_text_text_captured_during_revolution	Your capital has fallen to a foreign power, and the old regime is no more. The whole nation is now in your hands. Retake the capital to restore the nation to its former glory.\\n\\n	false
names_name_names_danishEjnar	Ejnar	false
names_name_names_englishFitzmaurice	Fitzmaurice	false
names_name_names_frenchEmery	Emery	false
names_name_names_italianEvangelista	Evangelista	false
names_name_names_slavonic_generalOvsianikov	Ovsianikov	false
message_event_strings_title_summary_unit_traits_gainedegy_european	Trait Gained	false
names_name_names_italianUgo	Ugo	false
names_name_names_portugueseXadreque	Xadreque	false
names_name_names_indian_hinduChetana	Chetana	false
names_name_names_persianNosratdoleh	Nosratdoleh	false
names_name_names_portugueseGuterres	Guterres	false
battle_script_strings_string_CreativeAssembly.HB_Pyramids_Battle_Won	The glories and treasures of Egypt will soon be mine! To walk in the footsteps of Caesar!	false
names_name_names_polishBator	Bator	false
building_faction_variants_onscreen_name_sCulture5_france_museenapoleonfrance	Musee Napoleon	false
names_name_names_danishOve	Ove	false
names_name_names_piratesGathenhielm	Gathenhielm	false
names_name_names_polishRydz	Rydz	false
names_name_names_slavonic_generalChugainov	Chugainov	false
names_name_names_slavonic_generalMaigourov	Maigourov	false
diplomacy_strings_string_european_republic_receive_neutral	I am to hear your proposals with patience and no little attention. 	false
names_name_names_frenchBerry	Berry	false
names_name_names_polishRudy	Rudy	false
names_name_names_polishTomaszewicz	Tomaszewicz	false
message_event_strings_title_your_settlement_surrendersegy_european	City Surrenders	false
diplomacy_strings_string_indian_republic_reject_offer_demand_peace	The Republic sees no reason to cease hostilities against your people - no, not a one.	false
