key	text	tooltip
#Loc;1;text/localisation.loc
abilities_on_screen_description_hinder_agent	Hinder a rival agent's progress or compell them to join your side.	true
abilities_on_screen_description_command_force	 	true
abilities_on_screen_description_assist_army	Enhance an army's effectiveness using your agent's particular talents.	true
abilities_on_screen_description_hinder_army	Diminish a rival army's battle effectiveness or hinder their campaign map progress.	true
abilities_on_screen_name_hinder_agent	Manipulate Agent	true
abilities_on_screen_name_hinder_army	Hinder Army	true
abilities_on_screen_name_hinder_settlement	Disrupt Settlement	true
abilities_on_screen_name_assist_army	Support Army	true
abilities_on_screen_description_hinder_settlement	Disrupt day-to-day affairs within a rival settlement through acts of sabotage or interference.	true
abilities_on_screen_name_hinder_province	Disrupt Province	true
abilities_on_screen_name_assist_province	Assist Province	true
abilities_on_screen_name_hinder_character	Assassinate	true
abilities_on_screen_name_passive_ability	 	true
abilities_on_screen_description_assist_province	Put your agent's talents to use by bolstering provincial effectiveness.	true
abilities_on_screen_description_passive_ability	 	true
abilities_on_screen_name_command_force	 	true
abilities_on_screen_description_hinder_character	Target a rival character for assassination.	true
abilities_on_screen_description_hinder_province	Diminish provincial effectiveness using your agent's particular talents.	true
achievements_title_ACHIEVEMENT_TOB_LONG_FAME_VICTORY_WESTSEXA	Your Seaxe Is On Fire	true
achievements_description_ACHIEVEMENT_TOB_LONG_CONQUEST_VICTORY_DYFLIN	Playing as Dyflin, complete the main campaign by achieving a Long Conquest victory.	true
achievements_description_ACHIEVEMENT_DESTROY_ALLIANCE_BREAKER	Playing as any faction, destroy another faction after they break your alliance.	true
achievements_title_ACHIEVEMENT_CAMPAIGN_VICTORY_VIKING_SEA_MECHANICS	Kneel Before Bardr	true
achievements_title_ACHIEVEMENT_TOB_ULTIMATE_VICTORY_GWINED	King of the Britons	true
achievements_title_ACHIEVEMENT_TOB_LONG_FAME_VICTORY_MIDHE	The Mide Touch	true
achievements_description_ACHIEVEMENT_LONG_VICTORY_ON_LEGENDARY_NO_AUTORESOLVE_WIN_ALL	Playing as any faction, complete the main campaign, achieving a Long victory on Legendary difficulty by fighting and winning every battle.	true
achievements_description_ACHIEVEMENT_CONQUER_NENNIUS_CITIES	Playing as any faction, conquer all the cities on Nennius' list.	true
